epoch,train_loss,val_score_mae,val_ranking_acc
1,0.18741109661566904,0.25156558603048323,0.36507936507936506
2,0.18506475175038362,0.24861156046390534,0.4126984126984127
3,0.18207160058694008,0.2452255293726921,0.3968253968253968
4,0.17847891342945588,0.24007668048143388,0.4523809523809524
5,0.17396453557870326,0.23266791552305222,0.42857142857142855
6,0.16847458023291367,0.22480362355709077,0.47619047619047616
7,0.1621165802845588,0.21486064046621323,0.4126984126984127
8,0.15536430860177064,0.204377418756485,0.42857142857142855
9,0.14923378978020105,0.1926496669650078,0.49206349206349204
10,0.14298119453283456,0.1834039345383644,0.38095238095238093
11,0.13707782614689606,0.17525857537984849,0.4365079365079365
12,0.13297365242854142,0.16644070893526078,0.49206349206349204
13,0.1283409295555873,0.15866755992174147,0.4444444444444444
14,0.12635515611141157,0.15197638869285585,0.47619047619047616
15,0.12047294278939565,0.14509841948747634,0.38095238095238093
16,0.12192119906346004,0.14394084513187408,0.4365079365079365
17,0.1158951169405228,0.13582333773374558,0.4523809523809524
18,0.11539550603200228,0.13189869970083237,0.4444444444444444
19,0.11047940968703,0.12991866022348403,0.46825396825396826
20,0.11047562670249206,0.12702612578868866,0.373015873015873
