epoch,train_loss,val_score_mae,val_ranking_acc
1,0.17252097183313125,0.20226928740739822,0.5714285714285714
2,0.13797491827072242,0.14251464158296584,0.6111111111111112
3,0.12312544920505622,0.12574997544288635,0.5793650793650794
4,0.11407043612920321,0.1275969296693802,0.5793650793650794
5,0.1089379828518782,0.12439665645360946,0.5079365079365079
6,0.10117870168044017,0.12221915870904923,0.5158730158730159
7,0.09426201937290338,0.11535089015960694,0.5079365079365079
8,0.08809258230030537,0.11965213492512702,0.46825396825396826
9,0.09218553205331166,0.11277981847524643,0.4523809523809524
10,0.09373877030343582,0.11156067252159119,0.46825396825396826
11,0.0931442122046764,0.11150501444935798,0.4444444444444444
12,0.08774659763544033,0.10613623708486557,0.48412698412698413
13,0.07256567826828896,0.11871979683637619,0.42063492063492064
14,0.08030222633328193,0.11133510246872902,0.4523809523809524
15,0.07310710794841632,0.11167998835444451,0.3968253968253968
16,0.08317512636765456,0.10838605463504791,0.4365079365079365
17,0.08336997719911429,0.10775962695479394,0.46825396825396826
18,0.0642193232018214,0.10519663915038109,0.5079365079365079
19,0.08064837400347759,0.10564602166414261,0.4523809523809524
20,0.06966539056828389,0.11153571158647538,0.3968253968253968
