target,own_token_mae,other_tokens_mean_mae,specialization_gain,best_token,own_token_is_best
s_color,0.04670300127853496,0.0459423256000655,-0.0007606756784694566,s_visibility_proxy,False
s_blur,0.042705725145131206,0.042614348643854695,-9.137650127651054e-05,s_visibility_proxy,False
s_contrast,0.054570492478378085,0.05375724690123543,-0.0008132455771426572,q_quality,False
s_visibility_proxy,0.0404240287373873,0.04078218185750152,0.00035815312011422407,s_visibility_proxy,True
q_quality,0.05068234704119266,0.05018292782240032,-0.0004994192187923463,s_color,False
