epoch,train_loss,val_score_mae,val_ranking_acc
1,0.12208832704868072,0.13323839902877807,0.9523809523809523
2,0.06334236694070008,0.12174465209245681,0.9603174603174603
3,0.04435882029625086,0.1122053362429142,0.9603174603174603
4,0.035143791674039304,0.10658495649695396,0.9761904761904762
5,0.032106540858363494,0.10203226283192635,0.9841269841269841
6,0.02861420327845292,0.09833804443478585,0.9841269841269841
7,0.026104858479438685,0.09473843574523926,0.9841269841269841
8,0.027730270456045102,0.09600868299603463,0.9841269841269841
9,0.02441968983755662,0.09594628736376762,0.9841269841269841
10,0.023185450464296035,0.09228860810399056,0.9841269841269841
11,0.021969266641789522,0.09001009911298752,0.9841269841269841
12,0.020354131881434184,0.0890686795115471,0.9841269841269841
13,0.018376423380313776,0.08743340298533439,0.9841269841269841
14,0.018000192761134643,0.08865357786417008,0.9841269841269841
15,0.017317297868430614,0.08648199811577797,0.9841269841269841
16,0.017464202613784716,0.08608398512005806,0.9841269841269841
17,0.016138974624948624,0.08648920878767967,0.9841269841269841
18,0.01611223506430785,0.08590605854988098,0.9841269841269841
19,0.015760967651238807,0.08729220256209373,0.9841269841269841
20,0.014374832718227154,0.08429352715611457,0.9841269841269841
