epoch,train_loss,val_score_mae,val_ranking_acc
1,0.11817029806283805,0.16003500074148178,0.9920634920634921
2,0.03452646116224619,0.10792797058820724,0.9841269841269841
3,0.02259795479954053,0.08867059648036957,0.9920634920634921
4,0.019471366268893082,0.08166761547327042,0.9920634920634921
5,0.016051757818040174,0.07512071654200554,0.9920634920634921
6,0.014480108729539773,0.07477842643857002,1.0
7,0.01294255407097248,0.07597632855176925,0.9920634920634921
8,0.012654741234981861,0.06807151585817336,0.9920634920634921
9,0.011834054516676145,0.06947579085826874,1.0
10,0.011188285377545234,0.0658567152917385,1.0
11,0.010321378851166138,0.06870316565036774,1.0
12,0.009881986364817772,0.06904418766498566,1.0
13,0.009704994551168803,0.06161026880145073,1.0
14,0.00885111585450478,0.06470106765627862,1.0
15,0.00896785669745161,0.058307670056819916,1.0
16,0.008683420144594632,0.061601780354976654,1.0
17,0.00930372920508186,0.06014080122113228,1.0
18,0.007899582015875822,0.05972246676683426,1.0
19,0.007213696526984374,0.05746151953935623,1.0
20,0.007648793084976764,0.06159349083900452,1.0
